start_time,end_time,duration,video_source,scene_id
0.0,2.7944582735097683,2.7944582735097683,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,0
2.7944582735097683,4.087416579163542,1.292958305653774,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,1
8.258249823207972,11.010999764277296,2.7527499410693235,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,2
11.678333083324405,13.430083045823066,1.7517499624986606,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,3
14.139124697310619,15.390374670523949,1.25124997321333,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,4
15.390374670523949,16.39137464909461,1.000999978570663,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,5
17.225541297903497,18.309957941355048,1.0844166434515508,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,6
18.309957941355048,19.644624579449268,1.3346666380942196,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,7
20.520499560698596,21.771749533911926,1.25124997321333,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,8
23.690332826172366,24.733041137183474,1.0427083110111077,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,9
25.56720778599236,27.193832751169687,1.626624965177328,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,10
28.111416064859462,29.779749362477233,1.668333297617771,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,11
29.779749362477233,31.030999335690563,1.25124997321333,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,12
31.740040987178116,32.74104096574878,1.0009999785706647,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,13
34.24254093360477,35.53549923925855,1.2929583056537766,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,14
35.53549923925855,38.20483251544698,2.669333276188432,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,15
38.20483251544698,40.749040794314084,2.544208278867103,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,16
40.749040794314084,41.83345743776564,1.0844166434515543,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,17
41.83345743776564,44.3359573841923,2.50249994642666,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,18
44.3359573841923,45.71233235472696,1.3763749705346626,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,19
45.71233235472696,46.83845733061895,1.1261249758919902,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,20
46.83845733061895,48.590207293117615,1.751749962498664,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,21
48.590207293117615,50.00829059609272,1.4180833029751057,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,22
50.00829059609272,51.80174889103183,1.7934582949391071,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,23
51.80174889103183,53.21983219400693,1.4180833029751057,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,24
56.222832129718924,58.14141542197936,1.9185832922604362,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,25
58.14141542197936,59.51779039251402,1.3763749705346626,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,26
60.894165363048685,62.14541533626201,1.2512499732133264,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,27
63.56349863923712,66.274540247866,2.711041608628882,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,28
66.274540247866,67.77604021572199,1.5014999678559917,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,29
67.77604021572199,70.02829016750599,2.2522499517839947,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,30
70.02829016750599,73.44837342762241,3.420083260116428,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,31
75.32524838744241,78.57849831779707,3.253249930354656,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,32
79.5377899639273,82.08199824279438,2.544208278867089,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,33
82.08199824279438,83.5000815457695,1.4180833029751199,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,34
83.5000815457695,85.62720650023216,2.1271249544626585,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,35
85.62720650023216,88.12970644665882,2.502499946426653,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,36
89.7146230793957,91.63320637165614,1.9185832922604504,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,37
91.63320637165614,94.63620630736813,3.0029999357119834,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,38
95.5537896210579,96.6799145969499,1.1261249758919973,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,39
98.26483122968678,100.01658119218544,1.751749962498664,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,40
100.725622843673,102.18541447908855,1.4597916354155558,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,41
102.18541447908855,104.3959560984321,2.2105416193435445,yt1s.com - DragonBall Z KAI Abridged Episode 1  TeamFourStar TFS,42
